ServerName|Location|Type|Cores|Memory|Owner|OS|BuildDate|Health|LastReboot|LastInventory
SRVW0000013452|London|VMware Virtual|2|16|FX|Windows 2003 R2|2011-06-25|Good|2012-08-15|2013-10-20
SRVU0000013508|New York|VMware Virtual|2|16|Equities|RHEL 6|2012-11-17|Good|2013-04-27|2013-10-20
SRVW0000013565|New York|HP Proliant DL380 G5|8|32|FX|Windows 2003 R2|2011-05-28|Good|2012-08-01|2013-10-20
SRVW0000013592|London|HP Proliant DL380 G5|4|8|Retail|Windows 2008 R2|2011-12-08|Good|2012-11-06|2013-10-20
SRVW0000013619|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-04-11|Good|2012-07-08|2013-10-20
SRVU0000013671|London|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2012-04-30|Good|2013-01-17|2013-10-20
SRVW0000013765|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2011-04-18|Good|2012-07-12|2013-10-20
SRVW0000013806|London|HP Proliant DL380 G7|16|144|Retail|Windows 2008 R2|2012-05-20|Good|2013-01-27|2013-10-20
SRVW0000013847|London|HP Proliant DL380 G7|16|64|Retail|Windows 2008 R2|2012-05-08|Good|2013-01-21|2013-10-20
SRVW0000013914|London|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2012-07-18|Good|2013-02-25|2013-10-20
SRVU0000013942|London|VMware Virtual|2|16|Retail|RHEL 6|2011-08-03|Good|2012-09-03|2013-10-20
SRVW0000014004|London|VMware Virtual|2|16|Commodities|Windows 2003 R2|2013-02-24|Good|2013-06-16|2013-10-20
SRVU0000014008|London|VMware Virtual|2|16|FX|RHEL 5|2011-10-24|Good|2012-10-14|2013-10-20
SRVW0000014089|New York|VMware Virtual|2|16|Commodities|Windows 2008 R2|2013-01-20|Good|2013-05-29|2013-10-20
SRVU0000014103|London|HP Proliant DL380 G5|4|8|FX|RHEL 6|2013-07-19|Good|2013-08-27|2013-10-20
SRVU0000014115|New York|HP Proliant DL380 G8|8|32|Equities|RHEL 6|2011-08-08|Good|2012-09-06|2013-10-20
SRVU0000014196|New York|VMware Virtual|2|16|Equities|RHEL 6|2012-01-30|Good|2012-12-02|2013-10-20
SRVW0000014197|London|HP Proliant DL380 G8|8|32|Commodities|Windows 2008 R2|2011-03-28|Good|2012-07-01|2013-10-20
SRVU0000014201|London|HP Proliant DL380 G8|8|16|Equities|RHEL 6|2013-06-09|Good|2013-08-07|2013-10-20
SRVW0000014299|London|HP Proliant DL380 G7|16|72|Commodities|Windows 2008 R2|2012-05-29|Good|2013-01-31|2013-10-20
SRVW0000014311|London|VMware Virtual|2|16|Corporate|Windows 2003 R2|2013-05-06|Good|2013-07-21|2013-10-20
SRVU0000014400|New York|HP Proliant DL380 G7|16|144|FX|RHEL 4|2012-08-30|Good|2013-03-19|2013-10-20
SRVW0000014413|Singapore|HP Proliant DL380 G8|8|32|Corporate|Windows 2003 R2|2012-05-19|Good|2013-01-26|2013-10-20
SRVW0000014433|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-02-02|Good|2012-12-04|2013-10-20
SRVW0000014501|New York|HP Proliant DL380 G7|16|144|FX|Windows 2008 R2|2012-07-04|Good|2013-02-18|2013-10-20
SRVW0000014529|New York|VMware Virtual|2|16|Corporate|Windows 2003 R2|2010-12-19|Good|2012-05-13|2013-10-20
SRVW0000014531|Tokyo|VMware Virtual|2|16|FX|Windows 2008 R2|2012-04-11|Good|2013-01-07|2013-10-20
SRVW0000014602|London|HP Proliant DL380 G7|16|64|Wealth|Windows 2003 R2|2012-11-13|Good|2013-04-25|2013-10-20
SRVW0000014682|London|HP Proliant DL380 G7|16|64|Commodities|Windows 2003 R2|2011-01-11|Good|2012-05-24|2013-10-20
SRVU0000014720|London|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2011-06-14|Good|2012-08-09|2013-10-20
SRVW0000014758|London|HP Proliant DL380 G7|16|64|Retail|Windows 2008 R2|2012-05-22|Good|2013-01-28|2013-10-20
SRVW0000014855|London|HP Proliant DL380 G7|16|64|Retail|Windows 2008 R2|2012-06-18|Good|2013-02-10|2013-10-20
SRVW0000014936|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2012-01-07|Good|2012-11-21|2013-10-20
SRVW0000014958|London|HP Proliant DL380 G7|16|64|Wealth|Windows 2003 R2|2013-08-27|Good|2013-09-16|2013-10-20
SRVW0000015019|London|VMware Virtual|2|16|FX|Windows 2003 R2|2012-11-09|Good|2013-04-23|2013-10-20
SRVU0000015080|London|VMware Virtual|2|16|FX|RHEL 6|2012-01-10|Good|2012-11-22|2013-10-20
SRVU0000015089|New York|HP Proliant DL380 G8|8|32|Equities|RHEL 6|2012-07-17|Good|2013-02-25|2013-10-20
SRVW0000015114|London|VMware Virtual|2|16|FX|Windows 2008 R2|2013-02-15|Good|2013-06-11|2013-10-20
SRVU0000015122|New York|HP Proliant DL380 G5|4|16|Equities|RHEL 6|2011-10-09|Good|2012-10-07|2013-10-20
SRVW0000015180|Singapore|VMware Virtual|2|16|Corporate|Windows 2003 R2|2012-04-25|Good|2013-01-14|2013-10-20
SRVW0000015191|Tokyo|VMware Virtual|2|16|Wealth|Windows 2003 R2|2011-11-29|Good|2012-11-01|2013-10-20
SRVW0000015273|London|HP Proliant DL380 G7|16|64|FX|Windows 2003 R2|2012-03-31|Good|2013-01-02|2013-10-20
SRVU0000015327|New York|HP Proliant DL380 G6|8|24|Retail|RHEL 6|2011-06-23|Good|2012-08-14|2013-10-20
SRVW0000015333|London|HP Proliant DL380 G5|8|32|Retail|Windows 2008 R2|2012-08-15|Good|2013-03-11|2013-10-20
SRVW0000015366|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2011-03-10|Good|2012-06-22|2013-10-20
SRVU0000015455|London|VMware Virtual|2|16|Retail|RHEL 6|2011-11-14|Good|2012-10-25|2013-10-20
SRVW0000015514|London|HP Proliant DL380 G5|8|16|Wealth|Windows 2003 R2|2013-08-08|Good|2013-09-06|2013-10-20
SRVU0000015605|New York|VMware Virtual|2|16|FX|RHEL 5|2012-06-24|Good|2013-02-13|2013-10-20
SRVU0000015646|New York|VMware Virtual|2|16|Retail|RHEL 5|2013-08-26|Good|2013-09-15|2013-10-20
SRVW0000015731|London|VMware Virtual|2|16|Wealth|Windows 2003 R2|2011-11-27|Good|2012-10-31|2013-10-20
SRVU0000015831|Singapore|VMware Virtual|2|16|Equities|RHEL 6|2011-08-26|Good|2012-09-15|2013-10-20
