PackageId|ApplicationName|Version|Status
ilSoftwarePackageAAA_8|SoftwarePackageAAA|8|Current
ilSoftwarePackageAAA_7|SoftwarePackageAAA|7|Superceded
ilSoftwarePackageAAA_6|SoftwarePackageAAA|6|Obsolete
ilSoftwarePackageAAA_5|SoftwarePackageAAA|5|Obsolete
ilSoftwarePackageAAC_8|SoftwarePackageAAC|8|Current
ilSoftwarePackageAAC_7|SoftwarePackageAAC|7|Superceded
ilSoftwarePackageAAC_6|SoftwarePackageAAC|6|Obsolete
ilSoftwarePackageAAC_5|SoftwarePackageAAC|5|Obsolete
ilSoftwarePackageAAC_4|SoftwarePackageAAC|4|Obsolete
ilSoftwarePackageAAC_3|SoftwarePackageAAC|3|Obsolete
ilSoftwarePackageAAD_8|SoftwarePackageAAD|8|Current
ilSoftwarePackageAAD_7|SoftwarePackageAAD|7|Superceded
ilSoftwarePackageAAD_6|SoftwarePackageAAD|6|Obsolete
ilSoftwarePackageAAD_5|SoftwarePackageAAD|5|Obsolete
ilSoftwarePackageAAD_4|SoftwarePackageAAD|4|Obsolete
ilSoftwarePackageAAD_3|SoftwarePackageAAD|3|Obsolete
ilSoftwarePackageAAF_3|SoftwarePackageAAF|3|Current
ilSoftwarePackageAAG_8|SoftwarePackageAAG|8|Current
ilSoftwarePackageAAG_7|SoftwarePackageAAG|7|Superceded
iwSoftwarePackageAAI_8|SoftwarePackageAAI|8|Current
iwSoftwarePackageAAI_7|SoftwarePackageAAI|7|Superceded
iwSoftwarePackageAAI_6|SoftwarePackageAAI|6|Obsolete
iwSoftwarePackageAAI_5|SoftwarePackageAAI|5|Obsolete
iwSoftwarePackageAAI_4|SoftwarePackageAAI|4|Obsolete
iwSoftwarePackageAAI_3|SoftwarePackageAAI|3|Obsolete
ilSoftwarePackageAAJ_3|SoftwarePackageAAJ|3|Current
iwSoftwarePackageAAK_4|SoftwarePackageAAK|4|Current
iwSoftwarePackageAAK_3|SoftwarePackageAAK|3|Superceded
ilSoftwarePackageAAL_3|SoftwarePackageAAL|3|Current
iwSoftwarePackageAAM_4|SoftwarePackageAAM|4|Current
iwSoftwarePackageAAM_3|SoftwarePackageAAM|3|Superceded
ilSoftwarePackageAAN_6|SoftwarePackageAAN|6|Current
ilSoftwarePackageAAN_5|SoftwarePackageAAN|5|Superceded
ilSoftwarePackageAAN_4|SoftwarePackageAAN|4|Obsolete
ilSoftwarePackageAAN_3|SoftwarePackageAAN|3|Obsolete
ilSoftwarePackageAAQ_9|SoftwarePackageAAQ|9|Current
ilSoftwarePackageAAQ_8|SoftwarePackageAAQ|8|Superceded
ilSoftwarePackageAAQ_7|SoftwarePackageAAQ|7|Obsolete
